"Property","PascalCase","MatchCount","Status"
"flexa-height","FlexaHeight","0","Absent"
"flexa-interval","FlexaInterval","0","Absent"
"flexa-width","FlexaWidth","0","Absent"
"font","Font","218","Used"
"font-encoding","FontEncoding","2","Mention"
"font-family","FontFamily","37","Used"
"font-features","FontFeatures","0","Absent"
"font-name","FontName","0","Absent"
"font-series","FontSeries","4","Used"
"font-shape","FontShape","8","Used"
"font-size","FontSize","107","Used"
"font-stretch","FontStretch","0","Absent"
"font-variant","FontVariant","0","Absent"
"fonts","Fonts","16","Used"
"footnote","Footnote","2","Mention"
"footnote-music","FootnoteMusic","0","Absent"
"footnote-stencil","FootnoteStencil","0","Absent"
"footnote-text","FootnoteText","0","Absent"
"footnotes-after-line-breaking","FootnotesAfterLineBreaking","0","Absent"
"footnotes-before-line-breaking","FootnotesBeforeLineBreaking","0","Absent"
"force-hshift","ForceHshift","7","Used"
"forced","Forced","16","Used"
"forced-spacing","ForcedSpacing","0","Absent"
"french-beaming","FrenchBeaming","0","Absent"
"french-beaming-stem-adjustment","FrenchBeamingStemAdjustment","0","Absent"
"fret-diagram-details","FretDiagramDetails","0","Absent"
"full-length-padding","FullLengthPadding","0","Absent"
"full-length-to-extent","FullLengthToExtent","0","Absent"
"full-measure-extra-space","FullMeasureExtraSpace","0","Absent"
"full-size-change","FullSizeChange","0","Absent"
"gap","Gap","93","Used"
"gap-count","GapCount","0","Absent"
"glissando-index","GlissandoIndex","0","Absent"
"glissando-skip","GlissandoSkip","0","Absent"
"glyph","Glyph","116","Used"
"glyph-left","GlyphLeft","0","Absent"
"glyph-name","GlyphName","0","Absent"
"glyph-right","GlyphRight","0","Absent"
"grace-spacing","GraceSpacing","21","Used"
"graphical","Graphical","1","Mention"
"grow-direction","GrowDirection","9","Used"
"hair-thickness","HairThickness","0","Absent"
"harp-pedal-details","HarpPedalDetails","0","Absent"
"has-span-bar","HasSpanBar","0","Absent"
"head-direction","HeadDirection","0","Absent"
"head-width","HeadWidth","0","Absent"
"head-x-offset","HeadXOffset","0","Absent"
"heads","Heads","9","Used"
"height","Height","381","Used"
"height-limit","HeightLimit","23","Used"
"hide-tied-accidental-after-break","HideTiedAccidentalAfterBreak","0","Absent"
"horizon-padding","HorizonPadding","5","Used"
"horizontal-shift","HorizontalShift","0","Absent"
"horizontal-skylines","HorizontalSkylines","0","Absent"
"id","Id","4","Used"
"ideal-distances","IdealDistances","0","Absent"
"ignore-ambitus","IgnoreAmbitus","0","Absent"
"ignore-collision","IgnoreCollision","0","Absent"
"implicit","Implicit","2","Mention"
"important-column-ranks","ImportantColumnRanks","0","Absent"
"in-note-direction","InNoteDirection","0","Absent"
"in-note-stencil","InNoteStencil","0","Absent"
"in-note-system-padding","InNoteSystemPadding","5","Used"
"inclinatum","Inclinatum","0","Absent"
"index","Index","140","Used"
"inspect-quants","InspectQuants","0","Absent"
"interfaces","Interfaces","1","Mention"
"items-worth-living","ItemsWorthLiving","1","Mention"
"keep-alive-with","KeepAliveWith","0","Absent"
"keep-inside-line","KeepInsideLine","0","Absent"
"kern","Kern","1","Mention"
"knee","Knee","8","Used"
"knee-spacing-correction","KneeSpacingCorrection","2","Mention"
"knee-to-beam","KneeToBeam","0","Absent"
"labels","Labels","8","Used"
"layer","Layer","0","Absent"
"least-squares-dy","LeastSquaresDy","0","Absent"
"ledger-extra","LedgerExtra","0","Absent"
"ledger-line-thickness","LedgerLineThickness","0","Absent"
"ledger-positions","LedgerPositions","0","Absent"
"ledger-positions-function","LedgerPositionsFunction","0","Absent"
"left-bound-info","LeftBoundInfo","0","Absent"
"left-down-stem","LeftDownStem","0","Absent"
"left-items","LeftItems","0","Absent"
"left-neighbor","LeftNeighbor","0","Absent"
"left-number-text","LeftNumberText","0","Absent"
"left-padding","LeftPadding","0","Absent"
"length","Length","539","Used"
"length-fraction","LengthFraction","5","Used"
"ligature-flexa","LigatureFlexa","0","Absent"
"line-break-penalty","LineBreakPenalty","0","Absent"
"line-break-permission","LineBreakPermission","4","Used"
"line-break-system-details","LineBreakSystemDetails","0","Absent"
"line-count","LineCount","0","Absent"
"line-positions","LinePositions","0","Absent"
"line-thickness","LineThickness","6","Used"
"linea","Linea","0","Absent"
"long-text","LongText","0","Absent"
"main-extent","MainExtent","0","Absent"
